Date,Time,SWR,RSSI(dB),RxBt(V),Cels(gRe),Tmp2(@C),RPM(rpm),Tmp1(@C),Rud,Ele,Thr,Ail,S1,S2,S3,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH
2016-02-23,15:46:16.120,0,0,0.0,0.00,0,0,0,-2,11,-1024,-13,7,-3,0,0,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:16.300,0,0,0.0,0.00,0,0,0,-1,14,-1024,-12,7,-2,0,1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:16.500,0,0,0.0,0.00,0,0,0,-2,12,-1024,-15,7,-3,0,1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:16.700,0,0,0.0,0.00,0,0,0,-2,12,-1024,-12,7,-1,0,1,-994,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:16.900,0,0,0.0,0.00,0,0,0,0,14,-1024,-15,10,-1,0,2,-993,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:17.110,0,0,0.0,0.00,0,0,0,-2,14,-1024,-13,7,-2,0,-1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:17.310,0,0,0.0,0.00,0,0,0,-4,12,-1024,-15,6,-1,0,-1,-996,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:17.510,0,0,0.0,0.00,0,0,0,-4,11,-1024,-15,7,-3,0,-1,-994,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:17.710,0,0,0.0,0.00,0,0,0,-1,12,-1024,-15,7,-2,0,1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:17.910,0,0,0.0,0.00,0,0,0,-2,12,-1024,-15,7,-2,0,0,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:18.110,0,0,0.0,0.00,0,0,0,-2,12,-1024,-15,7,-1,0,0,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:18.310,0,0,0.0,0.00,0,0,0,-1,12,-1024,-13,7,-3,0,1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:18.510,0,0,0.0,0.00,0,0,0,-2,14,-1024,-15,6,-2,0,0,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:18.720,0,0,0.0,0.00,0,0,0,-4,11,-1024,-15,7,-2,0,1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:18.920,0,0,0.0,0.00,0,0,0,-2,15,-1024,-13,7,-3,0,0,-993,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:19.130,0,0,0.0,0.00,0,0,0,-2,14,-1024,-13,8,-2,0,1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:19.340,0,0,0.0,0.00,0,0,0,-1,14,-1024,-15,8,-2,0,0,-994,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:19.550,0,0,0.0,0.00,0,0,0,-1,12,-1024,-15,7,-2,0,0,-996,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:19.760,0,0,0.0,0.00,0,0,0,-1,12,-1024,-13,7,-3,0,0,-994,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:19.970,0,0,0.0,0.00,0,0,0,-2,14,-1024,-13,5,-2,0,0,-996,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:20.170,0,0,0.0,0.00,0,0,0,0,12,-1024,-13,8,-3,0,1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:20.380,0,0,0.0,0.00,0,0,0,-2,15,-1024,-15,7,-2,0,-1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:20.590,0,0,0.0,0.00,0,0,0,-2,14,-1024,-15,7,-3,0,1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:20.850,0,0,0.0,0.00,0,0,0,-2,11,-1024,-15,7,-3,0,-1,-993,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:21.070,0,0,0.0,0.00,0,0,0,-2,14,-1024,-15,6,-2,0,-1,-996,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:21.270,0,0,0.0,0.00,0,0,0,-1,12,-1024,-13,10,-3,0,1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:21.480,0,0,0.0,0.00,0,0,0,-2,14,-1024,-13,7,-3,0,1,-994,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:21.680,0,0,0.0,0.00,0,0,0,-2,17,-1024,-15,8,-1,0,2,-994,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:21.890,0,0,0.0,0.00,0,0,0,-2,12,-1024,-15,6,-2,0,1,-992,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:22.100,0,0,0.0,0.00,0,0,0,-1,14,-1024,-13,8,-3,0,1,-994,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:22.310,0,0,0.0,0.00,0,0,0,-2,12,-1024,-12,6,-4,0,0,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:22.520,0,0,0.0,0.00,0,0,0,-1,14,-1024,-13,8,-3,0,-1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:22.740,0,0,0.0,0.00,0,0,0,-2,12,-1024,-13,7,-2,0,-1,-994,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:22.960,0,0,0.0,0.00,0,0,0,-2,15,-1024,-16,8,-1,0,2,-994,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:23.180,0,0,0.0,0.00,0,0,0,-1,14,-1024,-15,8,-1,0,1,-995,-1,-1,-1,-1,-1,-1,-1,-1
2016-02-23,15:46:23.400,0,0,0.0,0.00,0,0,0,-2,12,-1024,-16,7,-3,0,1,-995,-1,-1,-1,-1,-1,-1,-1,-1
